_id,subject,status
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-k,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade K,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2619353_grades-09-10-11-12,"South Carolina College- and Career-Ready Standards for Mathematics - Mathematics (2015-2023) - Grades 9, 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2619353_grade-01,South Carolina College- and Career-Ready Standards for Mathematics - Mathematics (2015-2023) - Grade 1,Published
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-05,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-01,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-05,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2394049_grade-03,South Carolina Academic Standards for the Visual and Performing Arts - Instrumental Music - Visual and Performing Arts (2010-2017) - Instrumental Music: Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-02,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-03,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grade-06,South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2395769_grades-09-10-11-12,"South Carolina Academic Standards for Health and Safety Education - Health & Safety Education (2009-2017) - Grades 9, 10, 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grades-09-10,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grades 9, 10",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-07,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2635196_grade-01,South Carolina College- and Career-Ready Standards for English Language Arts - English Language Arts (2015-2023) - Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2635196_grade-02,South Carolina College- and Career-Ready Standards for English Language Arts - English Language Arts (2015-2023) - Grade 2,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2635196_grade-06,South Carolina College- and Career-Ready Standards for English Language Arts - English Language Arts (2015-2023) - Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_high-school-algebra,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - High School — Algebra,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2531646_grades-10-11-12,"Medical Terminology - CTE (2008-) - Medical Terminology (2009): Grades 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2535169_grade-01,South Carolina Academic Standards and Performance Indicators for Science - Science (2014-2021) - Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-03,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 3",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2608882_grades-03-04-05,"South Carolina Academic Standards for Physical Education - Physical Education (2014-) - Grades 3, 4, 5",Published
033B7F9D29D84F09AF312E83F31AE348_D2608882_grades-06-07-08,"South Carolina Academic Standards for Physical Education - Physical Education (2014-) - Grades 6, 7, 8",Published
033B7F9D29D84F09AF312E83F31AE348_D2635196_grade-05,South Carolina College- and Career-Ready Standards for English Language Arts - English Language Arts (2015-2023) - Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2608882_grades-01-02,"South Carolina Academic Standards for Physical Education - Physical Education (2014-) - Grades 1, 2",Published
033B7F9D29D84F09AF312E83F31AE348_D2608882_grades-09-10-11-12,"South Carolina Academic Standards for Physical Education - Physical Education (2014-) - Grades 9, 10, 11, 12",Published
033B7F9D29D84F09AF312E83F31AE348_D2434324_grade-01,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grade 1",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2434324_grades-11-12,"Common Core State Standards for English Language Arts & Literacy in History/Social Studies, Science, and Technical Subjects - Common Core English/Language Arts (2010-2015) - Grades 11, 12",Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-08,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 8,Deprecated
